WBAN,ICAO
54769,KPYM
94726,KEWB
94724,KMVY
94720,KHYA
54777,KTAN
94624,KCQX
14765,KPVD
64708,KPVC
54752,KOQU
54768,KAQW
14787,KUUU
14740,KBDL
54767,KIJD
54756,KORE
54734,KDXR
14752,KHFD
54733,KBVY
14739,KBOS
54704,KOWD
94746,KORH
14712,KRDG
4843,KGKJ
14770,KSEG
4780,KFIT
54782,KPTW
54786,KDYL
93778,KTHV
54737,KLNS
4827,KAFJ
14751,KCXY
54792,KFIG
64705,KBTP
4787,KDUJ
14736,KAOO
4726,KJST
54739,KUNV
14777,KAVP
14778,KIPT
54723,KMUI
54746,KMSV
54773,KFZY
4725,KBGM
94761,KITH
14748,KELM
54757,KELZ
94737,KRUT
14737,KABE
13762,KNFE
64706,KIDI
14735,KALB
14771,KSYR
54778,KPEO
64775,KRME
94823,KPIT
4813,KBVI
14762,KAGC
54735,KLBE
4855,KMNN
14895,KCAK
4849,KLPR
4842,KBJJ
53855,KHAO
14750,KGFL
4852,KPHD
4858,KVTA
4720,KJHW
14820,KCLE
4853,KBKL
4805,KCGF
14852,KYNG
4851,KDFI
4857,KHZY
14860,KERI
4751,KBFD
94868,KFKL
14733,KBUF
465,KOLE
4724,KIAG
14768,KROC
14976,KGGI
94846,KORD
94892,KDPA
3960,KCPS
94870,KCMI
3887,KDEC
53802,KMTO
14842,KPIA
4894,KSQI
4846,KVPZ
14827,KFWA
94833,KGUS
94895,KMIE
4807,KGYY
14819,KMDW
13809,KLWV
14834,KJOT
14880,KUGN
4831,KLOT
94982,KDVN
14848,KSBN
4806,KEKM
94830,KTOL
14825,KFDY
94847,KDTW
54819,KONZ
94889,KARB
14822,KDET
14853,KYIP
14804,KMTC
4887,KOZW
54827,KIRS
4888,KPHN
94898,KP58
94899,KP59
14836,KLAN
4839,KBIV
14833,KJXN
14815,KBTL
4847,KADG
54816,KAMN
54817,KBAX
4854,KGLR
4881,KISQ
4882,KJYM
4886,KOEB
54821,KRMY
14864,KRQB
54822,KTEW
54823,KTTF
14931,KBRL
4885,KMOP
94822,KRFD
54789,KMPO
14923,KMLI
14990,KCID
14930,KAIO
4903,KAWG
4921,KEOK
4904,KAXA
4907,KCAV
14933,KDSM
94988,KMIW
14937,KIOW
14966,KCCY
4977,KTNU
14950,KOTM
4938,KIKV
4973,KSDA
4910,KCIN
4913,KCNC
94908,KDBQ
94989,KAMW
94979,KCWI
4915,KCSQ
4953,KMXO
4916,KDEH
4917,KDNS
4920,KEBS
4937,KICL
94910,KALO
4930,KFSW
4942,KLRJ
14940,KMCW
4906,KBNW
4950,KMUT
4955,KOLZ
4959,KORC
94933,KFOD
4962,KOXV
